imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-0.671,-0.112,-0.734,compass,-60.632,0.224,-68.311,-0.979,0.224,-10.24,2.448,2.6134731513279075,-53.164,346.344,0.031,23936.472,False,0.011525347282340916,0.018647473734384676,0.43,-0.051,-0.434,-9.875,-0.01,346.344,169.078,True,0,1,0,0
-0.633,-0.112,-0.729,compass,-59.88,0.112,-66.859,-0.996,0.112,-10.22,2.528,2.5820155175577986,-53.172,346.336,0.049,23936.672,False,0.019122283914564303,0.02913133997187918,0.43,-0.051,-0.434,-9.875,0.001,346.336,169.078,True,0,1,0,0
-0.633,-0.112,-0.729,compass,-59.88,0.112,-66.859,-0.996,0.112,-10.22,2.528,2.5820155175577986,-53.172,346.336,0.049,23936.672,False,0.019122283914564303,0.02913133997187918,0.43,-0.051,-0.434,-9.875,0.001,346.336,169.078,True,0,1,0,0
-0.617,0.0,-0.722,compass,-58.696,-0.0,-65.03,-1.015,0.112,-10.22,2.588,2.611924955334864,-53.173,346.335,0.041,23936.872,False,0.017245923561363292,0.024469941787458562,0.43,-0.012,-0.469,-9.879,0.001,346.335,169.078,True,0,1,0,0
-0.617,0.0,-0.722,compass,-58.696,-0.0,-65.03,-1.015,0.112,-10.22,2.588,2.611924955334864,-53.173,346.335,0.041,23936.872,False,0.017245923561363292,0.024469941787458562,0.44,-0.012,-0.469,-9.879,0.001,346.335,169.078,True,0,1,0,0
-0.61,-0.112,-0.716,compass,-58.429,-0.112,-63.359,-1.015,-0.112,-10.17,2.647,2.608929274326349,-53.117,346.391,0.039,23937.073,False,0.01746498488723528,0.023335270001394775,0.44,-0.051,-0.469,-9.914,0.018,346.391,169.078,True,0,1,0,0
-0.61,-0.112,-0.716,compass,-58.429,-0.112,-63.359,-1.015,-0.112,-10.17,2.647,2.608929274326349,-53.117,346.391,0.039,23937.073,False,0.01746498488723528,0.023335270001394775,0.44,-0.051,-0.469,-9.914,0.018,346.391,169.078,True,0,1,0,0
-0.603,0.0,-0.709,compass,-54.223,-0.112,-61.662,-1.016,-0.112,-10.17,2.627,2.613825071178641,-53.053,346.455,0.056,23937.273,False,0.026825889227408774,0.0338858859818794,0.44,-0.051,-0.469,-9.914,0.016,346.455,169.078,True,0,1,0,0
-0.603,0.0,-0.709,compass,-54.223,-0.112,-61.662,-1.016,-0.112,-10.17,2.627,2.613825071178641,-53.053,346.455,0.056,23937.273,False,0.026825889227408774,0.0338858859818794,0.44,-0.051,-0.469,-9.914,0.016,346.455,169.078,True,0,1,0,0
-0.597,-0.224,-0.703,compass,-55.698,-0.112,-59.889,-1.016,-0.224,-10.17,2.608,2.578189676251765,-52.99,346.518,0.027,23937.473,False,0.013690645488767028,0.01638269833830107,0.44,-0.051,-0.469,-9.914,0.016,346.518,169.078,True,0,1,0,0
-0.604,0.0,-0.7,compass,-53.406,-0.0,-59.078,-1.018,-0.224,-10.2,2.608,2.5665481667546715,-52.955,346.553,0.027,23937.573,False,0.014025074198031827,0.01639589821833842,0.44,-0.051,-0.434,-9.914,0.004,346.553,169.078,True,0,1,0,0
-0.611,0.224,-0.697,compass,-51.153,0.112,-57.857,-1.012,-0.224,-10.2,2.548,2.5721791087007007,-52.94,346.568,0.111,23937.673,False,0.059096318374352544,0.06677782397762487,0.44,-0.051,-0.434,-9.914,0.004,346.568,169.078,True,0,1,0,0
-0.649,0.112,-0.696,compass,-52.244,-0.0,-56.746,-0.996,-0.224,-10.2,2.548,2.568522013533022,-52.912,346.596,0.111,23937.773,False,0.060907912395771056,0.06682212051149611,0.44,-0.051,-0.434,-9.914,0.004,346.596,169.078,True,0,1,0,0
-0.671,0.0,-0.695,compass,-59.533,0.224,-56.508,-0.985,-0.224,-10.17,2.408,2.5111992482480088,-52.89,346.618,0.008,23937.874,False,0.004300925678132147,0.004691678657528935,0.44,-0.051,-0.434,-9.914,0.014,346.618,169.078,True,0,1,0,0
