imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-0.232,0.112,-0.342,compass,-173.917,1.231,-135.587,-1.015,0.0,12.22,4.379,3.149446904634268,-60.0,267.477,2.024,23407.008,False,-1.9568968671964428,-1.3549434297669325,0.0,-0.051,-0.547,-9.879,-0.331,267.477,88.403,True,0,1,0,0
-0.247,0.0,-0.339,compass,-175.586,1.231,-141.351,-1.013,-0.224,12.22,4.379,3.018113912571005,-60.0,267.561,1.878,23407.109,False,-1.8088565359798487,-1.2552669405352335,0.0,-0.051,-0.547,-9.879,-0.298,267.561,88.683,True,0,1,0,0
-0.248,0.112,-0.336,compass,-178.939,1.343,-146.449,-1.015,-0.671,12.22,4.22,2.860701406409539,-60.0,267.64,1.878,23407.209,False,-1.8085501623668738,-1.2533377756305197,0.0,-0.051,-0.547,-9.879,-0.298,267.64,88.683,True,0,1,0,0
-0.243,-0.112,-0.333,compass,-177.336,1.567,-150.116,-1.012,-0.448,12.22,4.22,2.753055694412189,-60.0,267.739,1.971,23407.309,False,-1.8951034276101741,-1.3130790968937245,0.0,-0.012,-0.547,-9.875,-0.298,267.739,92.939,True,0,1,0,0
-0.258,0.112,-0.331,compass,-175.033,1.343,-152.727,-1.01,-0.783,14.27,3.981,2.581059397971455,-60.0,267.834,1.971,23407.409,False,-1.8900936514080837,-1.3106559944848972,0.0,-0.051,-0.508,-9.875,0.415,267.834,92.939,True,0,1,0,0
-0.258,0.0,-0.329,compass,-173.347,1.567,-155.604,-1.013,-0.56,14.27,3.981,2.4501908058691124,-60.0,267.928,1.985,23407.509,False,-1.9073443972425057,-1.3172695286516178,0.0,-0.051,-0.508,-9.836,0.415,267.928,89.135,True,0,1,0,0
-0.273,-0.112,-0.327,compass,-171.866,1.567,-157.597,-1.01,-0.336,14.27,3.782,2.3219178930625306,-60.0,268.022,1.985,23407.609,False,-1.9081779671552257,-1.3148273097955305,0.0,-0.051,-0.508,-9.875,0.415,268.022,89.135,True,0,1,0,0
-0.284,0.112,-0.326,compass,-168.823,1.567,-159.302,-1.016,0.0,17.19,3.782,2.2110247545864663,-60.0,268.244,1.93,23407.709,False,-1.8569376747566932,-1.2731392625097857,0.0,-0.051,-0.508,-9.875,1.343,268.244,86.88,True,0,1,0,0
-0.294,0.112,-0.325,compass,-170.724,1.455,-160.382,-1.019,-0.224,17.19,3.663,2.0941410317227493,-60.0,268.348,1.93,23407.809,False,-1.8563243952658717,-1.2705023767244235,0.0,-0.051,-0.547,-9.879,1.343,268.348,86.88,True,0,1,0,0
-0.304,0.112,-0.324,compass,-170.724,1.79,-160.679,-1.022,-0.224,17.19,3.663,2.004963880838058,-60.0,268.477,1.94,23407.909,False,-1.8598449092147677,-1.2736158741049666,0.0,-0.051,-0.508,-9.836,1.343,268.477,88.689,True,0,1,0,0
