imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-0.501,-0.112,-0.114,compass,72.442,-0.224,139.11,-1.205,-0.56,3.98,2.488,3.9983581249958022,-60.0,271.088,4.055,23226.184,False,-3.125511687821682,-2.519978131766373,4.0,-0.164,-0.395,-9.914,-0.13,271.088,271.658,True,0,1,0,0
-0.521,0.112,-0.126,compass,67.086,-0.448,140.337,-1.242,0.112,3.98,2.389,3.9929058270333275,-60.0,270.998,4.047,23226.284,False,-3.1582589319976795,-2.5201006427349686,4.0,-0.164,-0.395,-9.875,-0.13,270.998,272.175,True,0,1,0,0
-0.541,0.224,-0.138,compass,67.423,-0.336,140.68,-1.26,-0.224,3.98,2.389,3.995982769086967,-60.0,270.934,4.047,23226.384,False,-3.1619422471047396,-2.5236605826800793,4.0,-0.129,-0.395,-9.918,-0.13,270.934,272.175,True,0,1,0,0
-0.56,0.448,-0.151,compass,63.354,-0.448,141.438,-1.258,0.0,3.96,2.209,3.982381293245878,-60.0,270.865,4.051,23226.484,False,-3.189197930341841,-2.529890668668833,4.0,-0.09,-0.434,-9.879,-0.123,270.865,273.18,True,0,1,0,0
-0.57,0.448,-0.163,compass,63.355,-0.783,141.986,-1.247,0.0,3.96,2.209,3.9632974369199605,-60.0,270.801,4.051,23226.584,False,-3.206154817123066,-2.533415345201894,4.0,-0.09,-0.395,-9.918,-0.123,270.801,273.18,True,0,1,0,0
-0.559,0.56,-0.175,compass,-38.655,-0.671,148.928,-1.206,0.448,3.96,0.0,3.9203920544929693,-60.0,270.748,4.028,23226.685,False,-3.4578151259909773,-2.521771999088576,4.0,-0.09,-0.395,-9.879,-0.123,270.748,272.933,True,0,1,0,0
-0.554,0.671,-0.187,compass,-18.432,-0.783,154.569,-1.151,0.224,4.02,0.0,3.873937530579741,-60.0,270.694,4.028,23226.785,False,-3.641479631972193,-2.524687388108968,4.0,-0.051,-0.434,-9.801,-0.091,270.694,272.933,True,0,1,0,0
-0.524,0.56,-0.197,compass,-44.996,-0.895,158.909,-1.09,0.56,4.02,0.0,3.8484761289948155,-60.0,270.621,4.166,23226.885,False,-3.887991274134606,-2.6153505588924206,4.0,-0.051,-0.469,-9.801,-0.091,270.621,274.363,True,0,1,0,0
-0.498,0.783,-0.206,compass,-44.997,-1.007,162.542,-1.024,0.783,4.23,0.0,3.7865315518598845,-60.0,270.558,4.166,23226.985,False,-3.9737315260504475,-2.6189227224551352,4.0,-0.012,-0.469,-9.762,0.025,270.558,274.363,True,0,1,0,0
-0.404,0.336,-0.212,compass,-63.433,-1.119,165.907,-0.917,0.671,4.23,0.0,3.7609617171035965,-60.0,270.411,4.071,23227.085,False,-3.94598566573392,-2.5671683215362453,4.0,-0.012,-0.508,-9.723,0.025,270.411,273.685,True,0,1,0,0
-0.339,0.224,-0.216,compass,-75.962,-1.119,168.97,-0.88,0.895,4.23,0.0,3.729521488354997,-60.0,270.322,4.071,23227.185,False,-3.9932203845840344,-2.5720756326104435,4.0,-0.012,-0.547,-9.758,0.025,270.322,273.685,True,0,1,0,0
-0.275,0.112,-0.217,compass,-75.962,-0.783,170.878,-0.873,0.448,4.83,0.0,3.756591914413886,-60.0,270.232,4.059,23227.285,False,-4.005443687054605,-2.569631673438537,4.0,-0.012,-0.547,-9.719,0.22,270.232,274.64,True,0,1,0,0
