imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-0.714,-0.895,-0.431,compass,138.821,1.343,166.375,-1.437,-0.783,-1.01,0.0,4.083807186575784,-60.0,315.891,3.816,23136.722,False,-3.7475856806432586,0.42426592174520045,3.79,-0.051,-0.625,-10.145,-0.108,315.891,320.449,True,0,1,0,0
-0.799,-0.671,-0.442,compass,110.56,1.007,165.929,-1.475,-1.79,-1.01,0.0,4.168056895341425,-60.0,316.036,3.816,23136.822,False,-3.735292991997794,0.43386411422181625,3.79,-0.051,-0.547,-10.066,-0.098,316.036,320.449,True,0,1,0,0
-0.851,-0.448,-0.454,compass,104.935,1.007,165.795,-1.483,-1.679,-1.01,0.0,4.211346211416674,-60.0,316.203,3.824,23136.922,False,-3.735917267533037,0.4458254054519321,3.79,-0.051,-0.547,-10.066,-0.098,316.203,320.035,True,0,1,0,0
-0.952,-0.336,-0.469,compass,101.312,0.895,165.657,-1.481,-1.679,-1.01,0.0,4.234007175469513,-60.0,316.356,3.824,23137.022,False,-3.729619060332392,0.45594287162970026,3.79,-0.09,-0.508,-9.996,-0.098,316.356,320.035,True,0,1,0,0
-1.061,-0.112,-0.487,compass,93.18,0.56,165.266,-1.459,-2.014,-0.79,0.0,4.250041747724302,-60.0,316.487,3.799,23137.122,False,-3.695371931124619,0.46155756500415757,3.79,-0.051,-0.395,-9.875,-0.015,316.487,318.834,True,0,1,0,0
-1.164,0.336,-0.507,compass,77.904,0.224,165.398,-1.412,-1.567,-0.79,0.0,4.215654673021142,-60.0,316.612,3.799,23137.222,False,-3.694341707982471,0.4697750658267736,3.8,-0.09,-0.316,-9.836,-0.015,316.612,318.834,True,0,1,0,0
-1.288,0.336,-0.53,compass,81.469,0.224,164.398,-1.349,-2.238,-0.4,0.0,4.217018641426005,-60.0,316.7,3.839,23137.322,False,-3.714791640861349,0.4806581338946727,3.8,-0.051,-0.203,-9.684,0.183,316.7,319.171,True,0,1,0,0
-1.414,0.448,-0.557,compass,70.018,0.448,165.022,-1.28,-1.231,-0.4,0.0,4.157874403699042,-60.0,316.763,3.839,23137.422,False,-3.7224737435407933,0.4848524694444067,3.8,-0.09,-0.203,-9.68,0.183,316.763,319.171,True,0,1,0,0
-1.554,0.895,-0.587,compass,51.344,0.56,165.684,-1.193,-1.119,-0.4,0.0,4.11357286948584,-60.0,316.791,3.974,23137.522,False,-3.8610017891189585,0.5037407573794984,3.8,-0.051,-0.012,-9.613,0.183,316.791,317.498,True,0,1,0,0
-1.679,0.783,-0.62,compass,35.544,0.56,167.039,-1.107,-0.56,-0.09,0.0,4.055950529047766,-60.0,316.794,3.974,23137.622,False,-3.8800504619761784,0.5039605471100669,3.8,-0.012,-0.012,-9.574,0.268,316.794,317.498,True,0,1,0,0
-1.9,0.895,-0.658,compass,26.575,0.448,167.87,-0.945,-0.448,-0.09,0.0,3.977872146135737,-60.0,316.711,3.909,23137.722,False,-3.8267879110581418,0.4902046497663257,3.8,-0.012,0.027,-9.57,0.268,316.711,318.329,True,0,1,0,0
-1.951,0.56,-0.697,compass,-45.013,0.56,169.195,-0.874,0.56,-0.09,0.0,3.8930178285705965,-60.0,316.653,3.909,23137.822,False,-3.842770894278203,0.4862606355830169,3.8,-0.012,0.066,-9.574,0.268,316.653,318.329,True,0,1,0,0
-1.985,0.671,-0.735,compass,-18.444,0.336,170.615,-0.804,0.224,-0.23,0.0,3.8487539112229467,-60.0,316.57,4.028,23137.922,False,-3.975202453276123,0.49520574892573815,3.8,-0.012,0.027,-9.613,0.194,316.57,318.156,True,0,1,0,0
-2.142,0.448,-0.778,compass,-72.907,0.224,172.007,-0.732,1.455,-0.23,0.0,3.7075359524908227,-60.0,316.597,4.028,23138.022,False,-3.989806710331065,0.49711766026716825,3.8,-0.012,-0.012,-9.684,0.194,316.597,318.156,True,0,1,0,0
-2.119,0.56,-0.818,compass,-67.393,0.336,173.256,-0.676,1.343,-0.27,0.0,3.603045149922206,-60.0,316.485,4.014,23138.122,False,-3.9865056405453485,0.4875961832319574,3.81,-0.012,-0.047,-9.758,0.155,316.485,320.596,True,0,1,0,0
-2.084,0.336,-0.856,compass,-79.998,0.448,96.277,-0.63,1.902,-0.27,0.0,3.4857120679059954,-60.0,316.334,4.014,23138.222,False,-4.000951617529689,0.47711767647298503,3.81,0.027,-0.086,-9.836,0.155,316.334,320.596,True,0,1,0,0
-1.962,0.448,-0.889,compass,-79.701,0.224,37.693,-0.596,2.462,-0.38,0.0,3.3447378452821743,-60.0,316.233,3.886,23138.322,False,-3.8846093241620423,0.455061219205594,3.81,-0.012,-0.316,-9.953,0.084,316.233,321.458,True,0,1,0,0
-1.84,0.448,-0.918,compass,-78.695,-0.0,-7.926,-0.56,2.238,-0.38,0.0,3.285417592472025,-60.0,316.112,3.886,23138.422,False,-3.8855352664509732,0.446946153026824,3.81,-0.012,-0.355,-9.992,0.084,316.112,321.458,True,0,1,0,0
-1.481,0.224,-0.934,compass,-83.292,-0.56,-44.37,-0.534,1.902,-0.38,0.0,3.3276676530049754,-60.0,315.955,4.079,23138.522,False,-4.0760163620375955,0.45798655956229434,3.81,0.027,-0.434,-9.992,0.084,315.955,322.554,True,0,1,0,0
-1.27,0.224,-0.945,compass,-83.992,-0.56,-72.24,-0.531,2.126,-0.42,0.0,3.3740789487106877,-60.0,315.9,4.079,23138.622,False,-4.0710094028152675,0.45406130062170086,3.81,0.027,-0.508,-10.027,0.063,315.9,322.554,True,0,1,0,0
