imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-0.257,0.0,-0.498,compass,-90.0,-0.112,32.616,-1.002,1.343,0.14,0.0,3.4469116288500365,-60.0,261.077,3.74,23315.043,False,-3.720350136413058,-2.7983033462668554,3.79,-0.051,-0.508,-9.875,-0.326,261.077,259.102,True,0,1,0,0
-0.227,-0.112,-0.49,compass,-101.312,-0.0,-12.994,-1.008,0.56,0.14,0.0,3.460782494661621,-60.0,261.032,3.74,23315.143,False,-3.733263559195137,-2.8002687629635696,3.79,-0.051,-0.547,-9.879,-0.326,261.032,259.102,True,0,1,0,0
-0.203,0.0,-0.481,compass,90.0,-0.0,-48.703,-1.0,-0.671,0.18,0.0,3.475286192839132,-60.0,260.987,3.88,23315.243,False,-3.8784066291523334,-2.9070769340446216,3.79,-0.051,-0.508,-9.875,-0.28,260.987,257.747,True,0,1,0,0
-0.177,-0.112,-0.472,compass,104.038,-0.448,-77.05,-1.002,-0.448,0.18,0.0,3.5104846219913597,-60.0,260.941,3.88,23315.343,False,-3.879769078610331,-2.9091035346279432,3.79,-0.09,-0.586,-9.918,-0.28,260.941,257.747,True,0,1,0,0
-0.162,0.0,-0.463,compass,90.0,-0.448,-99.022,-1.005,-0.112,0.16,0.0,3.5633443024347056,-60.0,260.902,3.804,23315.444,False,-3.8044066321554744,-2.8540084148151927,3.76,-0.051,-0.547,-9.84,-0.261,260.902,257.434,True,0,1,0,0
-0.131,0.112,-0.453,compass,-75.962,-0.671,-116.152,-1.01,0.448,0.16,0.0,3.561454061438879,-60.0,260.821,3.804,23315.544,False,-3.8042159114340706,-2.857531014310983,3.76,-0.051,-0.547,-9.879,-0.261,260.821,257.434,True,0,1,0,0
-0.115,0.112,-0.443,compass,75.306,-0.56,-53.174,-1.023,1.007,0.05,1.99,3.3152461951201646,-60.0,260.791,3.764,23315.644,False,-3.761889300323504,-2.828175692039276,3.76,-0.051,-0.586,-9.836,-0.291,260.791,258.484,True,0,1,0,0
-0.125,-0.112,-0.433,compass,82.505,-0.56,-7.15,-1.033,0.112,0.05,1.99,3.1158680451878125,-60.0,260.761,3.764,23315.744,False,-3.7385233360703514,-2.8294631053621537,3.76,-0.051,-0.547,-9.879,-0.291,260.761,258.484,True,0,1,0,0
-0.129,-0.224,-0.424,compass,85.229,-0.783,24.406,-1.038,-0.895,0.05,2.19,3.0079144022212967,-60.0,260.736,3.725,23315.844,False,-3.6014893536998236,-2.8013092933407466,3.76,-0.051,-0.547,-9.879,-0.291,260.736,258.86,True,0,1,0,0
-0.138,-0.224,-0.415,compass,85.117,-0.112,49.401,-1.048,-0.783,-0.01,2.19,3.0080240265616975,-60.0,260.716,3.725,23315.944,False,-3.48275791307226,-2.8021598521616973,3.76,-0.09,-0.547,-9.875,-0.282,260.716,258.86,True,0,1,0,0
-0.152,-0.112,-0.408,compass,72.83,-0.0,69.505,-1.063,-0.56,-0.01,2.209,3.07179981682952,-60.0,260.697,3.832,23316.044,False,-3.4774584006567464,-2.8834753095293544,3.76,-0.09,-0.586,-9.879,-0.282,260.697,260.093,True,0,1,0,0
-0.175,-0.112,-0.401,compass,71.0,-0.112,86.101,-1.079,-0.112,-0.01,2.209,3.1388685483151972,-60.0,260.671,3.832,23316.144,False,-3.411263918072405,-2.8845812785636538,3.76,-0.09,-0.508,-9.879,-0.282,260.671,260.093,True,0,1,0,0
-0.203,-0.112,-0.395,compass,69.927,-0.336,99.7,-1.101,0.112,-0.01,2.229,3.190953897219323,-60.0,260.661,3.824,23316.245,False,-3.3702651491643527,-2.8791662298097855,3.76,-0.09,-0.586,-9.879,-0.254,260.661,258.668,True,0,1,0,0
-0.231,0.0,-0.39,compass,72.711,-0.224,108.443,-1.113,-0.895,-0.01,2.229,3.2725289258939627,-60.0,260.642,3.824,23316.345,False,-3.280376796478402,-2.880025672588394,3.76,-0.09,-0.508,-9.879,-0.254,260.642,258.668,True,0,1,0,0
-0.325,0.112,-0.388,compass,73.299,-0.112,114.008,-1.125,-1.455,-0.01,2.249,3.3640744250429435,-60.0,260.633,3.721,23316.445,False,-3.0738090276580325,-2.8027956503612987,3.76,-0.129,-0.547,-9.875,-0.254,260.633,258.832,True,0,1,0,0
-0.374,0.112,-0.387,compass,72.243,0.112,118.974,-1.129,-1.119,-0.07,2.249,3.432235670485753,-60.0,260.634,3.721,23316.545,False,-2.9986495456201614,-2.802766177077863,3.76,-0.09,-0.469,-9.879,-0.25,260.634,258.832,True,0,1,0,0
-0.413,0.224,-0.388,compass,68.888,0.448,124.466,-1.132,-0.56,-0.07,2.09,3.4527532531757337,-60.0,260.625,3.742,23316.645,False,-3.017710022375664,-2.81927355799917,3.76,-0.09,-0.508,-9.918,-0.25,260.625,257.97,True,0,1,0,0
-0.467,0.224,-0.391,compass,67.8,0.224,129.139,-1.142,-0.336,-0.07,2.09,3.461679424056637,-60.0,260.625,3.742,23316.745,False,-3.0343824452091175,-2.8192459578962534,3.76,-0.051,-0.469,-9.875,-0.25,260.625,257.97,True,0,1,0,0
-0.513,0.336,-0.394,compass,76.096,0.448,133.607,-1.13,0.0,-0.09,2.07,3.483570265715927,-60.0,260.622,3.791,23316.845,False,-3.1180189178611384,-2.8560129774826657,3.76,-0.051,-0.508,-9.875,-0.232,260.622,258.05,True,0,1,0,0
-0.553,0.112,-0.399,compass,78.69,0.224,137.637,-1.124,0.224,-0.09,2.07,3.509669690242775,-60.0,260.613,3.791,23316.945,False,-3.1713002724274046,-2.8564070062703752,3.76,-0.051,-0.434,-9.875,-0.232,260.613,258.05,True,0,1,0,0
-0.589,0.112,-0.405,compass,80.207,0.336,139.682,-1.111,-0.336,-0.17,2.09,3.521088867932166,-60.0,260.604,3.631,23317.045,False,-3.0389173498868085,-2.736666993284215,3.76,-0.051,-0.469,-9.875,-0.249,260.604,256.722,True,0,1,0,0
-0.618,-0.224,-0.411,compass,85.602,0.112,140.136,-1.114,-1.119,-0.17,2.09,3.584344801709752,-60.0,260.604,3.631,23317.145,False,-2.999717945692829,-2.736649685560791,3.76,-0.051,-0.395,-9.836,-0.249,260.604,256.722,True,0,1,0,0
-0.634,-0.112,-0.418,compass,83.397,-0.112,141.882,-1.1,-0.448,-0.17,2.11,3.6333016734699104,-60.0,260.605,3.732,23317.245,False,-3.1023368613228834,-2.812806686867949,3.76,-0.09,-0.434,-9.84,-0.249,260.605,256.34,True,0,1,0,0
-0.669,-0.112,-0.425,compass,82.417,-0.112,144.239,-1.098,0.112,-0.21,2.11,3.6588706563105378,-60.0,260.605,3.732,23317.345,False,-3.1522588841337345,-2.8127811174656934,3.78,-0.051,-0.395,-9.836,-0.237,260.605,256.34,True,0,1,0,0
-0.679,0.0,-0.433,compass,79.527,-0.112,146.767,-1.099,0.56,-0.21,2.15,3.6673058374071386,-60.0,260.595,3.734,23317.445,False,-3.2143589510852904,-2.814662436749963,3.78,-0.051,-0.395,-9.836,-0.237,260.595,256.03,True,0,1,0,0
-0.689,-0.112,-0.441,compass,80.446,-0.112,149.383,-1.1,0.895,-0.21,2.15,3.6672114894056413,-60.0,260.601,3.734,23317.545,False,-3.280031672750923,-2.814428016554841,3.78,-0.09,-0.395,-9.797,-0.237,260.601,256.03,True,0,1,0,0
-0.693,-0.224,-0.448,compass,83.769,-0.224,150.242,-1.105,0.336,-0.25,2.09,3.6994919785448452,-60.0,260.596,3.729,23317.646,False,-3.2873542427153675,-2.8102628215185423,3.78,-0.09,-0.395,-9.84,-0.227,260.596,258.257,True,0,1,0,0
-0.698,-0.112,-0.456,compass,83.418,-0.112,149.637,-1.11,-0.448,-0.25,2.09,3.762678248890679,-60.0,260.586,3.729,23317.746,False,-3.2572629463086518,-2.810686193727113,3.78,-0.09,-0.395,-9.84,-0.227,260.586,258.257,True,0,1,0,0
-0.693,-0.224,-0.463,compass,79.332,-0.112,149.2,-1.114,-0.671,-0.27,2.01,3.8113072184642003,-60.0,260.576,3.75,23317.846,False,-3.2528106415529443,-2.8272375570275208,3.78,-0.051,-0.395,-9.836,-0.214,260.576,257.907,True,0,1,0,0
-0.683,0.0,-0.469,compass,72.985,-0.0,150.15,-1.113,0.224,-0.27,2.01,3.8042844349640497,-60.0,260.566,3.75,23317.946,False,-3.2763663947265838,-2.827667260059211,3.78,-0.09,-0.469,-9.879,-0.214,260.566,257.907,True,0,1,0,0
