imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-2.262,0.448,-1.464,compass,5.596,3.805,-124.365,-1.166,-3.693,-11.71,3.563,2.019343637999693,-60.0,352.326,4.613,22775.675,False,-2.5016827312946157,1.0423704340586264,4.9,0.102,0.027,-9.492,-0.269,352.326,352.431,True,0,1,0,0
-2.624,-0.224,-1.499,compass,6.267,3.581,-135.527,-1.114,-3.693,-11.71,3.563,1.9222715606584595,-60.0,352.627,4.613,22775.776,False,-3.210477505844738,1.0659383664686584,4.9,0.062,0.066,-9.457,-0.269,352.627,352.431,True,0,1,0,0
-2.948,-0.448,-1.542,compass,22.428,3.245,-67.505,-1.108,-3.917,-11.71,3.643,1.7513806491854065,-60.0,352.912,4.726,22775.876,False,-3.886979018163011,1.114870101448152,4.9,0.062,0.145,-9.492,-0.269,352.912,351.984,True,0,1,0,0
-3.245,-0.56,-1.593,compass,9.048,3.469,-14.495,-1.077,-2.35,-11.75,3.643,1.6836015747189976,-60.0,353.148,4.726,22775.976,False,-4.254423476581972,1.133771146211621,4.9,-0.012,0.219,-9.535,-0.255,353.148,351.984,True,0,1,0,0
-3.492,-0.56,-1.65,compass,3.107,3.469,24.858,-1.063,-1.902,-11.75,4.021,1.5565145192460628,-60.0,353.327,4.691,22776.076,False,-4.489310034236148,1.1396122273738425,4.82,-0.129,0.297,-9.609,-0.255,353.327,353.71,True,0,1,0,0
-3.697,-0.448,-1.712,compass,9.585,3.245,54.368,-1.032,-2.686,-11.75,4.021,1.4413236269080338,-60.0,353.477,4.691,22776.176,False,-4.637374565127647,1.1515268958470053,4.82,-0.129,0.371,-9.613,-0.255,353.477,353.71,True,0,1,0,0
-3.873,0.336,-1.777,compass,-6.709,3.581,57.668,-1.02,-0.783,-11.71,4.797,1.2175477424507897,-60.0,353.641,4.757,22776.276,False,-4.538244236731128,1.1809157178176912,4.82,-0.203,0.41,-9.836,-0.217,353.641,355.62,True,0,1,0,0
-4.219,0.448,-1.85,compass,-8.713,3.805,52.922,-0.982,-0.448,-11.71,4.797,1.0148919070129003,-60.0,353.73,4.757,22776.376,False,-3.352855045179531,1.188046307738041,4.82,-0.164,0.527,-9.875,-0.217,353.73,355.62,True,0,1,0,0
-4.29,0.783,-1.923,compass,-14.195,3.133,42.229,-0.957,0.56,-11.69,5.056,0.9885577085207871,-60.0,353.836,4.654,22776.477,False,-1.298212938750741,1.1706460484730434,4.82,-0.09,0.527,-9.996,-0.185,353.836,358.195,True,0,1,0,0
-4.369,0.895,-1.997,compass,-19.346,2.798,29.455,-0.926,1.567,-11.69,5.056,1.017772488880364,-60.0,353.857,4.654,22776.577,False,-4.331223491183971,1.1723579696923534,4.82,-0.012,0.527,-10.023,-0.185,353.857,358.195,True,0,1,0,0
