imu.roll,imu.pitchrate,imu.heel,ap.mode,ap.wind_angle,imu.headingrate,ap.true_wind_angle,imu.pitch,imu.rollrate,rudder.angle,wind.speed,ap.true_wind_speed,ap.heading_error,ap.heading,gps.speed,timestamp,ap.enabled,ap.vmg,ap.cmg,sow.speed,imu.accel_X,imu.accel_Y,imu.accel_Z,rudder.speed,imu.heading,gps.track,perf.quality_flag,perf.boat_config.Main,perf.boat_config.jib,perf.boat_config.spi,perf.boat_config.weight
-1.485,0.0,-1.352,compass,-38.401,-0.224,-60,-1.236,0.112,-0.19,7.066,3,-0.951,38.557,3.701,22955.2,True,2.006044835583554,3.90495852369512,3.57,-0.09,-0.277,-9.879,-0.03,38.557,46.886,True,0,1,0,0
-1.504,0.112,-1.361,compass,-37.317,-0.224,-59.78,-1.228,-0.112,-0.11,7.106,3.734807665140492,-1.016,38.492,3.701,22955.4,True,1.8591013958127036,3.7007935329005957,3.57,-0.09,-0.277,-9.918,0.017,38.492,46.886,True,0,1,0,0
-1.5,0.224,-1.365,compass,-37.792,-0.0,-60.389,-1.215,0.112,-0.11,7.166,3.8616685762659158,-1.025,38.483,3.882,22955.5,True,1.9146167409164372,3.881546469925272,3.57,-0.09,-0.316,-9.914,0.017,38.483,46.955,True,0,1,0,0
-1.502,0.336,-1.369,compass,-36.746,-0.112,-60.848,-1.199,-0.112,-0.11,7.186,3.9587037034135126,-1.032,38.476,3.882,22955.6,True,1.8879996081145005,3.8815387562946926,3.57,-0.09,-0.316,-9.914,0.017,38.476,46.955,True,0,1,0,0
-1.495,0.336,-1.373,compass,-37.131,-0.112,-60.992,-1.179,0.0,-0.17,7.225,4.050219707102898,-1.045,38.463,3.845,22955.7,True,1.8616567978559078,3.8445928979012574,3.57,-0.09,-0.316,-9.914,-0.005,38.463,47.332,True,0,1,0,0
-1.486,0.224,-1.376,compass,-36.278,-0.224,-61.194,-1.153,-0.336,-0.17,7.265,4.096173035258382,-1.044,38.464,3.845,22955.8,True,1.8504469143898705,3.8445931907558117,3.57,-0.09,-0.277,-9.918,-0.005,38.464,47.332,True,0,1,0,0
-1.459,0.224,-1.379,compass,-37.428,0.112,-61.13,-1.141,0.0,-0.17,7.345,4.18085258243536,-1.016,38.492,3.808,22955.9,True,1.8382032944208306,3.8076973584916933,3.57,-0.09,-0.316,-9.914,-0.005,38.492,46.965,True,0,1,0,0
-1.443,0.224,-1.38,compass,-37.428,-0.224,-61.113,-1.116,0.0,-0.13,7.345,4.248048968904972,-1.016,38.492,3.808,22956.0,True,1.8393004999772349,3.807697488761536,3.57,-0.09,-0.277,-9.918,0.009,38.492,46.965,True,0,1,0,0
-1.407,0.336,-1.381,compass,-37.4,-0.0,-61.059,-1.077,-0.224,-0.13,7.405,4.307474498020984,-1.016,38.492,3.801,22956.1,True,1.8387869439658309,3.799922753605637,3.57,-0.09,-0.277,-9.918,0.009,38.492,47.07,True,0,1,0,0
-1.38,0.112,-1.381,compass,-39.429,0.112,-61.079,-1.064,0.224,-0.17,7.444,4.37899345085726,-1.007,38.501,3.801,22956.2,True,1.8381242660275097,3.7999329327253744,3.57,-0.09,-0.316,-9.914,-0.012,38.501,47.07,True,0,1,0,0
-1.358,0.112,-1.381,compass,-39.784,0.224,-61.193,-1.065,0.336,-0.17,7.425,4.444548829559924,-1.007,38.501,3.789,22956.3,True,1.8258160127170338,3.788270330762374,3.57,-0.051,-0.316,-9.879,-0.012,38.501,47.158,True,0,1,0,0
